id,name,popularity,followers,genres,url
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,71,888669,"alternative hip hop, jazz rap, experimental hip hop, boom bap",https://open.spotify.com/artist/0eVyjRhzZKke2KFYTcDkeu
3n5jeTRWZEbTPJWyHSYUqn,Acid Bath,53,352279,"sludge metal, stoner metal, doom metal, drone metal",https://open.spotify.com/artist/3n5jeTRWZEbTPJWyHSYUqn
0HyM2wwUfOsZYD4Dj5IOOZ,Alexandra Streliski,56,132132,neoclassical,https://open.spotify.com/artist/0HyM2wwUfOsZYD4Dj5IOOZ
1P6U1dCeHxPui5pIrGmndZ,Air,64,1153382,"trip hop, downtempo",https://open.spotify.com/artist/1P6U1dCeHxPui5pIrGmndZ
5rjz63sgMaAUAyBMyCUK5D,Avery Anna,68,253674,,https://open.spotify.com/artist/5rjz63sgMaAUAyBMyCUK5D
3a1tBryiczPAZpgoZN9Rzg,Asake,74,7156403,"afrobeats, afrobeat, afropiano, afro adura, afropop, amapiano, afroswing, afro r&b",https://open.spotify.com/artist/3a1tBryiczPAZpgoZN9Rzg
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,64,2021595,,https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ
3ShGiAyhxI6Rq3TknZ3gfk,Arkells,46,189899,,https://open.spotify.com/artist/3ShGiAyhxI6Rq3TknZ3gfk
6kBjAFKyd0he7LiA5GQ3Gz,Aqua,63,774404,"europop, eurodance",https://open.spotify.com/artist/6kBjAFKyd0he7LiA5GQ3Gz
3Z7onAknzpinUu3KtmgeZb,Avenoir,64,466540,"dark r&b, alternative r&b, r&b",https://open.spotify.com/artist/3Z7onAknzpinUu3KtmgeZb
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,72,12262426,,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,59,1725365,,https://open.spotify.com/artist/16GcWuvvybAoaHr0NqT8Eh
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,78,40100911,"bollywood, hindi pop, desi, sufi, qawwali",https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx
7ircrxU9ilF88T3dfIP6yc,Aswell,43,19679,"rap québécois, chanson québécoise",https://open.spotify.com/artist/7ircrxU9ilF88T3dfIP6yc
4AVFqumd2ogHFlRbKIjp1t,Alesso,71,4030018,edm,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,74,2701853,,https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa
